X_mm,Z_mm,path_index
-224.446,28.400,1
-224.482,29.200,1
-224.646,29.854,1
-224.546,29.954,1
-224.500,30.000,1
-224.100,30.400,1
-224.000,30.500,1
,,
-123.620,108.400,2
-123.918,109.089,2
-123.984,109.213,2
-124.390,109.962,2
-124.407,109.992,2
-124.412,110.001,2
-124.458,110.079,2
-124.857,110.765,2
-124.932,110.854,2
-125.356,111.552,2
-125.629,111.952,2
-125.911,112.400,2
-126.282,113.029,2
-126.504,113.429,2
-126.831,114.000,2
-127.128,114.552,2
-127.322,114.952,2
-127.664,115.600,2
-127.942,116.122,2
-128.163,116.522,2
-128.579,117.176,2
-128.601,117.214,2
-128.617,117.234,2
-128.652,117.276,2
-128.848,117.549,2
-129.077,117.856,2
-129.111,117.907,2
-129.134,117.939,2
-129.535,118.496,2
-129.827,118.896,2
-130.227,119.437,2
-130.532,119.837,2
-130.953,120.363,2
-130.988,120.407,2
-131.018,120.442,2
-131.096,120.527,2
-131.270,120.733,2
-131.448,120.973,2
-131.518,121.076,2
-131.557,121.131,2
-131.945,121.693,2
-132.193,122.093,2
-132.632,122.761,2
-132.702,122.854,2
-133.152,123.429,2
-133.249,123.544,2
-133.317,123.624,2
-133.990,124.370,2
-134.009,124.390,2
-134.027,124.408,2
-134.792,125.160,2
-134.817,125.184,2
-134.844,125.210,2
-135.582,125.914,2
-135.636,125.965,2
-135.695,126.021,2
-136.373,126.671,2
-136.453,126.748,2
-136.539,126.832,2
-137.164,127.437,2
-137.265,127.536,2
-137.371,127.640,2
-137.959,128.217,2
-138.072,128.329,2
-138.185,128.444,2
-138.771,129.068,2
-138.848,129.153,2
-138.904,129.220,2
-139.450,129.952,2
-139.460,129.969,2
-139.465,129.980,2
-139.876,130.765,2
-139.894,130.816,2
-140.195,131.535,2
-140.232,131.609,2
-140.256,131.637,2
-140.632,132.051,2
-141.200,132.121,2
-142.000,132.283,2
-142.737,132.613,2
-143.137,132.837,2
-143.600,133.115,2
-144.183,133.477,2
-144.583,133.751,2
-145.162,134.151,2
-145.562,134.426,2
-146.000,134.732,2
-146.511,135.106,2
-146.911,135.494,2
-147.287,135.894,2
-147.638,136.407,2
